Course,Link,Faculty,Institute
Numerical Optimization,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106108056,Dr. Shirish K. Shevade,IISc Bangalore
Parallel Algorithm,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106104120,Prof. Phalguni Gupta,IIT Kanpur
Parallel Computing,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106102114,Dr. Subodh Kumar ,IIT Delhi
Pattern Recognition,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106106046,Prof. Sukhendu Das,Prof. C.A. Murthy,IIT Madras
Performance Evaluation of Computer Systems,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106106048,Prof. Krishna Moorthy Sivalingam,IIT Madras
Principles of Compiler Design,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106108113,Prof. Y.N. Srikanth,IISc Bangalore
Principles of Programming Languages,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106102067,Prof. S. Arun Kumar,IIT Delhi
Programming and Data Structure,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106105085,Dr. P.P.Chakraborty,IIT Kharagpur
Real Time Systems,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106105036,Prof. Rajib Mall,IIT Kharagpur
Riemann Hypothesis and its Applications,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106104118,Prof. Manindra Agrawal,IIT Kanpur
Software Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106101061,Prof. Umesh Bellur,Prof. Rushikesh K Joshi,Prof. N.L. Sarda,IIT Bombay
Storage Systems,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106108058,Dr. K. Gopinath,IISc Bangalore
System Analysis and Design,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106108102,Prof. V. Rajaraman,IISc Bangalore
Theory of Automata; Formal Languages and Computation,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106106049,Prof. Kamala Krithivasan,IIT Madras
Theory of Computation,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106104028,Prof. Somenath Biswas,IIT Kanpur
Virtual Reality,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106106138,Prof Steven LaValle,IIT Madras
