Course,Link,Faculty,Institute
Astronomy in Ancient; Medieval and Early Telescopic Era of India,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=121104006,Prof. Amitabha Ghosh,IIT Kanpur
Ayurvedic Inheritance of India,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=121106003,Dr M. S. Valiathan,IIT Madras
Introduction to Japanese Language  and Culture,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=121104005,Mrs.Vatsala Misra,IIT Kanpur
NOC:Introduction to Research,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=121106007,Dr. G. Phanikumar,Dr. Prathap Haridoss,Dr. Abhijit P. Deshpande,Prof. C. Balaji,Prof. M.S. Ananth,Dr. Arun K.Tangirala,IIT Madras
